	micha-ii-48	lancellotto-ii-48	lanzarote-ii-48
0	avoir trové. » 	avere trovato». 	queria fallar muy de grado 
1	Si li conte tote s’aventure 	Si gli conta tutta sua aventura 	e luego le conto todo 
2	issi com vos avés oi dire ça arrieres. 	si come el libro l’à trattato qua adietro, 	como le auia conel contesçido 
3	tant qu’il conoist bien 	tanto che conosce bene 	asi como el cuento lo a deuisado |e luego entendio boores 
4|5	que c’est il |qu’ele quiert a, 	che ciò est elli quelli |cui ella chiede, |ma per lo cruccio 	que ael andaua ella buscando 
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	ch’egli à della morte del siniscalco |non si vuole fare cognoscere, 	mas porel pesar dela muerte del senescal |no se quiso fazer conosçer 
7|8|9	ains li respont: « |Certes, |damoisele, chevalier 	anzi le risponde: |'Certo, damigella, il cavaliere 	antele rrespondio çierto donçella al cauallero 
10	qui porte escu blanc ne conois je nul. — 	che porta lo scudo bianco |non ne so io nulla. 	que traia blancas armas no conozco yo 
11|12	En non Dieu, |sire, 	—A nome di Dio, 	Pardios dixo la donçella 
13|14	fet ele, |ce poise moi chierement. » 	dis’ella, |ciò pesa a mes. 	mucho me Pesa caramjente 
15	Et il n’en tient plus a li parole, 	E non tenne più a-llei parole, 	e boores non quiso conella |mas estar 
16	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	anzi si parti si tosto come l’à comandata a dDio |e cavalca tanto in tale maniera 	e acomendo la a dios |e fuese e andubo tanto 
17	tant qu’il vint a l’issue de la forest; 	infino qua a terza, |tanto che viene a l’uscita della foresta. 	que salio dela floresta |e dexo el camino 
18	et il torne a destre vers un chemin viés et ancien; 	Ed e torna a destra inverso uno camino vecchio e antico, 	e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 
19	si ne demora gueres 	si non dimora guari 	e non andubo mucho 
20	qu’il vint a une eve P lee et parfonde, 	che viene a una acqua lata e perfonda, 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 
21	mais il n’i trueve pont ne gué ne passage nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	e non fallo puente |por do Pudiese pasar 
22	Et il regarde d’autre part de l’eve, 	Ed elli isguarda d’altra parte dell’acqua, 	e cato dela otra parte Del agua 
23	si voit I. petit chastel molt bien seant, 	si vide uno piccolo castello molto ben sedente, 	e vio vn castillo muy bien asentado 
24	clos de mur bateillié tot entor a la roonde. 	chiuso d’uno muro battagliato |tutto intorno alla ritonda. 	çercado de muy buen muro todo enderredor 
25	ll regarde grant piece le chastel 	eElli riguarda gran peza il castello, 	e el cato gran pieça el castillo 
26	dont la façons li plest molt a regarder, 	donde la fazion gli piace molto al riguardare, 	ca mucho se pagaua delo catar 
27	puis s’en torne contreval la riviere 	poscia ritorna tutto contravalle la riviera 	e despues torno la rribera ayuso 
28	por savoir s’il i peust trover ne pont ne gué, 	per sapere se potrebbe trovare né ponte né guado, 	Por saber si podria fallar puente |Por do pasase 
29	mais il n’en trueve point 	ma e non ve ne truova punto, 	mas el no pudo fallar ninguna 
30|31	et quant il voit |qu’il n’i passera, 	e quand’e vede |che non potrà passare, 	e boores desque esto vido no sabia que se façer 
